ui_music_volume|Volume da Música:
ui_male|Masculino
ui_female|Feminino
ui_gender|Escolha o Gênero:
ui_edit_profile|Editar Perfil
ui_new_profile|Novo Perfil
ui_enter_username|Entre Nome de Usuário:
ui_invalid_username|Nome de usuário só pode ter letras, números ou os símbolos _ - * [ ] ~.
ui_confirmation|Tem certeza?
ui_multiplayer|Multijogador
ui_server_name|Servidor
ui_module_name|Modificação
ui_game_type|Tipo de Jogo
ui_map_name|Mapa
ui_ping|Ping
ui_dedicated|Dedicado
ui_number_of_players|Jogadores
ui_password_protected|Senha
ui_connect|Conectar
ui_local_area_network|Área de Rede Local
ui_internet|Internet
ui_favorites|Favoritos
ui_source|Fonte:
ui_server_password|Senha do Servidor:
ui_refresh|Atualizar
ui_start_search|Começar Busca
ui_add_to_favorites|Adicionar a Favoritos
ui_remove_from_favorites|Remover dos Favoritos
ui_use_speedtree|Usar Speedtree
ui_use_instancing|Usar Instancing
ui_error|Erro
ui_error_server_full|Servidor cheio.
ui_error_server_full_for_non_private|Servidor está cheio de jogadores sem uma senha privada de membro.
ui_error_server_password_incorrect|Senha incorreta.
ui_error_incorrect_serial|Número de serial incorreto.
ui_error_incorrect_authorization_key|Chave de autorização incorreta.
ui_error_banned_from_server|Você foi banido desse servidor.
ui_error_username_taken|Seu nome de perfil está sendo usado por outro jogador.
ui_error_authentication_failed|Falha de autenticação.
ui_unable_to_connect_to_server|Incapaz de conectar ao servidor.
ui_connection_to_server_is_lost|Conexão com o servidor perdida.
ui_kicked_from_server|Chutado do servidor.
ui_switch_to_module_question|Este servidor está usando outra modificação que você não está usando no momento. Você quer que Mount&Blade mude para essa modificação?
ui_download_module_question|Este servidor está usando outra modificação que você não está usando no momento. Você gostaria de visitar o site de download dessa modificação agora?
ui_download_mb_new_version_question|Este servidor está usando uma versão mais recente (%d.%d%d%d) do Mount&Blade se comparado a versão que você está usando (%d.%d%d%d). Gostaria de visitar o site de download da TalesWorlds agora?
ui_download_mb_old_version_question|Este servidor está usando uma versão mais velha (%d.%d%d%d) do Mount&Blade se comparado a versão que você está usando (%d.%d%d%d). 
ui_download_module_new_version_question|Este servidor está usando uma versão mais recente (%d.%d%d%d) da modificação se comparado a versão que você está usando (%d.%d%d%d). Gostaria de visitar o site de download dessa modificação agora?
ui_download_module_old_version_question|Este servidor está usando uma versão mais velha (%d.%d%d%d) da modificação se comparado a versão que você está usando (%d.%d%d%d). 
ui_authenticating_with_steam|Autenticando com o Steam...
ui_validating_serial_number|Validando número de serial...
ui_scanning_lan|Escaneando área de rede local...
ui_retrieving_servers|Pegando lista de servidores...
ui_shield_size2|Tamanho: %dx%d
ui_click_to_view_notes|Clique para ver as notas
ui_retrieving_server_infos|Pegando informação dos servidores {%d}...
ui_connecting_to_server|Conectando-se ao servidor...
ui_requesting_to_join_the_game|Solicitando entrada no jogo...
ui_loading|Carregando...
ui_group_value_control|Grupo %d!
ui_drop_weapon|Largar Arma
ui_multiplayer_message_all|Mandar Mensagem a Todos
ui_multiplayer_message_team|Mandar Mensagem para o Time
ui_command_line|Linha de Comando
ui_use_ranged_weapon_as_melee|Mudar Modo da Arma
ui_send_message_all|Mandar Mensagem a Todos
ui_send_message_team|Mandar Mensagem para o Time
ui_select|Selecionar
ui_context_menu|Menu de Contexto
ui_round_starts_in_value_seconds|Rodada começa em %d segundos...
ui_watching_value|Seguindo %s
ui_capital_spec|OBSER
ui_capital_dead|MORTO
ui_instancing_error1|Não foi possível travar Instance Buffer (tamanho: %d), Mesh-instancing desativado (Código do Erro: %d)
ui_instancing_error2|Não foi possível colocar os objetos instanciados, mesh-instancing desativado
ui_by_keyboard|Pelo movimento das teclas
ui_combat_speed_slowest|Muito mais lenta
ui_combat_speed_slower|Devagar
ui_combat_speed_normal|Normal
ui_combat_speed_faster|Mais Rápido
ui_combat_speed_fastest|Muito mais rápida
ui_module_newer_than_application|O módulo que você selecionou precisa de uma versão mais atual do jogo.
ui_module_older_than_application|O módulo que você selecionou precisa de uma versão mais antiga do jogo.
ui_unbalanced|Não balanceado
ui_can_crush_through_blocks|Pode furar bloqueios
ui_turn_camera_with_horse|Mudar Câmera com Cavalo em Primeira Pessoa:
ui_widescreen_mode_on|Modo Tela Múltipla Ativado
ui_widescreen_mode_off|Modo Tela Múltipla Desativado
ui_notification_cant_upgrade|(Não pode promover: dinheiro insuficiente)
ui_turn_never|Nunca
ui_turn_ranged_only|Somente Ataque de Longe
ui_turn_melee_only|Somente Ataque de Perto
ui_turn_always|Sempre
ui_general_options|Opções Gerais
ui_vac_enabled|Anti Trapaça da Valve Ativado
ui_campaign_ai|IA da Campanha:
ui_downloading_map|Baixando mapa (%d KB)
ui_download_completed|Download concluído.
ui_server_filter|Filtro de servidores
ui_has_players|Tem jogadores
ui_is_not_full|Não está cheio
ui_is_password_free|Sem senha
ui_native_only|Somente Nativo
ui_ping_limit|Limite de ping
ui_filter_info|%d jogos e % jogadores filtrados
ui_is_version_compatible|Compatível com modificação
ui_ttnet_account|Conta TTNET Oyun
ui_username|Nome de usuário
ui_password|Senha
ui_error_incorrect_username_or_password|Nome de usuário incorreto ou senha
ui_validating_account|Validando a conta...
ui_plase_enter_your_serial_key|Por favor insira sua chave de série
ui_texture_detail2|Detalhe de Texturas:
ui_antialiasing2|Antialiasing:
ui_napoleonic_key_does_not_exist|Esta modificação precisa do DLC Napoleonic Wars para ser jogado!
ui_delete_module_workshop|Tem certeza que quer desinscrever dessa modificação?
ui_delete_module|Tem certeza que deseja excluir esta modificação?
ui_delete_native_module|Você não pode deletar modificações nativas.
ui_incompatible_module|Este servidor é incompatível com sua modificação atual. Você pode usar o utilitário de configuração para mudar entre modificações.
