ui_music_volume|Musikvolym:
ui_validating_serial_number|Validerar serienummer...
; ui_scanning_lan|Scanning local area network...
; ui_retrieving_servers|Retrieving server list...
; ui_shield_size2|Size: %dx%d
; ui_click_to_view_notes|Click to view notes
; ui_retrieving_server_infos|Retrieving information from servers (%d)...
ui_connecting_to_server|Ansluter till server...
; ui_requesting_to_join_the_game|Requesting to join the game...
ui_loading|Laddar...
; ui_group_value_control|Group %d!
ui_drop_weapon|Släpp vapen
ui_multiplayer_message_all|Skicka meddelande till alla
ui_multiplayer_message_team|Skicka meddelande till lagmedlemmar
; ui_command_line|Command Line
; ui_use_ranged_weapon_as_melee|Toggle Weapon Mode
ui_send_message_all|Skicka meddelande till alla
ui_send_message_team|Skicka meddelande till lagmedlemmar
ui_select|Välj
; ui_context_menu|Context Menu
; ui_round_starts_in_value_seconds|Round starts in %d seconds...
; ui_watching_value|Following %s
; ui_capital_spec|SPEC
; ui_capital_dead|DEAD
; ui_instancing_error1|Could not lock Instance Buffer (size: %d), Disabled mesh-instancing (Error Code: %d)
; ui_instancing_error2|Could not fit instanced objects, Disabled mesh-instancing
; ui_by_keyboard|By movement keys
ui_combat_speed_slowest|Långsammast
ui_combat_speed_slower|Långsammare
ui_combat_speed_normal|Normal
ui_combat_speed_faster|Snabbare
ui_combat_speed_fastest|Snabbast
; ui_module_newer_than_application|The module you have selected requires a newer version of the game.
; ui_module_older_than_application|The module you have selected requires an older version of the game.
; ui_unbalanced|Unbalanced
; ui_can_crush_through_blocks|Can crush through blocks
; ui_turn_camera_with_horse|Turn Camera with Horse in First Person:
; ui_widescreen_mode_on|Multiple Screen Mode Enabled
; ui_widescreen_mode_off|Multiple Screen Mode Disabled
; ui_notification_cant_upgrade|(Can't upgrade: not enough money)
ui_turn_never|Aldrig
; ui_turn_ranged_only|Ranged only
; ui_turn_melee_only|Melee only
ui_turn_always|Alltid
; ui_general_options|General Options
; ui_vac_enabled|Valve Anti Cheat Enabled
; ui_campaign_ai|Campaign AI:
; ui_downloading_map|Downloading map (%d KB)
; ui_download_completed|Download completed.
ui_server_filter|serverfilter
ui_has_players|Har spelare
ui_is_not_full|Inte full
ui_is_password_free|Inget lösenord
; ui_native_only|Native only
; ui_ping_limit|Ping limit
; ui_filter_info|%d games and %d players filtered
ui_is_version_compatible|Kompatibel med modul
; ui_ttnet_account|TTNET Oyun account
ui_username|Användarnamn
ui_password|Lösenord
ui_error_incorrect_username_or_password|Fel användarnamn eller lösenord
ui_validating_account|Validerar konto...
ui_plase_enter_your_serial_key|Vänligen ange din CD-nyckel
; ui_texture_detail2|Texture Detail:
; ui_antialiasing2|Antialiasing:
; ui_napoleonic_key_does_not_exist|This mod requires the Napoleonic Wars DLC to play!
; ui_delete_module_workshop|Are you sure you want to unsubscribe from this module?
; ui_delete_module|Are you sure you want to delete the module?
; ui_delete_native_module|You cannot delete native mods.
; ui_incompatible_module|This server is incompatible with your current module. You can use the configuration utility to change module.
