str_no_string|NO STRING!
str_npc12_rehire_speech|Comandante! è bello rivedere un viso onesto come il vostro. Questo mondo è pieno di bugie e ipocriti. Sono tornato a casa per pubblicare le mie ricerche, ho assoldato qualche scrivano e creato una manciata di ricette, aspettando qualche commissione. Ma ho scoperto che alle università non interessa la vera conoscenza della medicina oltre a Galerian. E gli editori - lascia che te lo dica - non conoscerete mai nessuno con meno scrupoli di loro. Affittano i libri dagli studenti per copiarli capitolo per capitolo, ma la metà di loro non sono mai tornati, e quelli che sono ritornati sono stati bagnati nel vino, non esiste una copia completa del mio lavoro da nessuna parte. Ci riproverò, ma prima ho bisogno di altri soldi. Vi serve un bravo cerusico?
str_npc13_rehire_speech|Salve, comandante. Speravo di rivedervi ancora. Ovunque vada, sento leggende e canzoni sulle vostre imprese. Ammetto di sentire una fitta di rimpianto da quando le nostre strade si sono divise e, lo confesso, una fitta di gelosia per la vostra notorietà. Ho pensato che potrei combattere ancora al vostro fianco, vivendo di luce riflessa dalla vostra gloria. Potremmo forse cavalcare ancora insieme, almeno per un po'?
str_npc14_rehire_speech|Comandante. è bello vedervi. Quando ci siamo separati, ero pronto a giurare che non vi avrei più servito, ma forse ho espresso giudizi troppo duri nei vostri confronti. Menestrelli, ovunque in Calradia, cantano le vostre lodi. Ho provato a servire in eserciti di altri lord e credetemi, quello che ho visto mi ha aperto gli occhi sulle vostre vere abilità di comando. Se vorrete avermi nella vostra Compagnia, combatterò ancora per voi.
str_npc15_rehire_speech|Salve, {playername}. Non posso dire di essere del tutto dispiaciuto di vedervi. Vedete, ho sottoscritto un altro contratto prima di lasciarvi, e quando è arrivato il momento di prendere la paga, il lord non ebbe altro da darmi se non parole, scuse e critiche alla mia opera. Non ero sempre felice nella vostra Compagnia, ma almeno dopo ogni battaglia riuscivo a mettere un poco d'oro nella mia bisaccia. Mi offrireste ancora lavoro?
str_npc16_rehire_speech|Comandante! Dicono che avete avuto successo da quando ci siamo incontrati l'ultima volta. Confesso di aver maledetto il vostro nome quando ci siamo separati, ma ripensandoci non eravate così male. Tutti quei lord, sempre contenti di affidarmi qualche piccola commissione, non mi hanno mai permesso di entrare nelle file dei loro eserciti. Sembra che io spaventi gli uomini. Ho sentito che dicevano fossi un mago, o che mangio gli uomini dopo averli uccisi, o altre porcherie del genere. Non che non abbia mai accoltellato qualcuno mentre dormiva, ma è molto più gratificante colpirlo quand'è sveglio. Insomma ho cercato di voi ancora e ora ci rivediamo. Decidete voi se volete riavermi tra le vostre fila.
str_npc1_home_intro|Comandante... Sapete che sono nato proprio qui vicino, nelle alte steppe? È qui che ho imparato tutto quello che so sui cavalli, una buona terra per gli equini, sebbene sia molto dura per gli uomini. Suppongo sia per questo che piace tanto ai Khergit.
str_npc2_home_intro|Ci stiamo avvicinando a Sargoth. Stavo andando in questa direzione quando i Khergit mi hanno catturato...
str_npc3_home_intro|Lo sentite quest'odore? Alberi di limone, mele e fiori di ciliegio, il profumo di Veluca. Ho passato tante estati felici qui quand'ero giovane, giocando nei prati con la famiglia di mia madre mentre mio padre era via per i suoi commerci.
str_npc4_home_intro|Il legno di Ehlerdah. Bah. Questo posto è pieno di banditi e fuorilegge.
str_npc5_home_intro|Comandante, siamo vicini ad Halmar, la città più grande delle basse steppe. Una mia zia sposò un abitante di questa città e pensavo che avrei preso servizio ai comandi del lord locale. Questo prima di incontrare voi.
str_npc6_home_intro|Capisco vedendo i vigneti e i terrazzamenti sulle colline che sono vicino a casa. Non mi interessa vedere la mia famiglia, quindi aspetterò fuori dalle mura se deciderete di entrare in città. Sono sicuro che mi capirete.
str_npc7_home_intro|Lo sentite? Pesce salato, lino in decomposizione e acqua piena di fango. L'odore della mia giovinezza. Vorrei vomitare...
str_npc8_home_intro|Hmf. Lo sentite? Dev'essere lo schianto delle onde sul promontorio. Dobbiamo essere vicini al Gundig's Point.
str_npc9_home_intro|Ecco la rocca di Rivacheg! La fortezza più resistente di Calradia. Mio padre era uno di quelli che ha combattuto in prima linea qui, per respingere l'avanzata dei Nords, quando hanno tentato per la prima volta di spingersi nell'entroterra partendo dalla costa.
str_npc10_home_intro|Sentite l'aria fresca, comandante? Questa era casa mia, prima che me ne andassi in cerca di fortuna. È bello ritrovarsi di nuovo qui, liberi sulle colline. È l'odore della libertà. È la culla della libertà dei Rhodok qui, sotto il castello di Grunwalder.
str_npc11_home_intro|Vedo le montagne. Dobbiamo essere vicino a casa.
str_npc12_home_intro|Stiamo passando per il posto in cui ho ottenuto i miei migliori trionfi in medicina, se v'interessa.
str_npc13_home_intro|Ah, Castello Ergellon! Che posto incantevole, con il lago profondo. Che bei giorni ho speso qui, qualche estate fa.
str_npc14_home_intro|Vedete quella fortezza lassù, oltre la valle? Ismirala? Ho passato qui un inverno qualche anno fa, cercando di addestrare alle armi gli uomini del posto.
str_npc15_home_intro|Vedete quel castello in cima alla collina? Viene chiamato castello Culmarr. Ho lavorato lì per un po', non troppo tempo fa. Alla vista non è imponente come altri castelli del regno, ma è costruito con la più bella pietra che io abbia mai visto.
str_npc16_home_intro|Hey, comandante, le vedete quelle? Sono tracce di lepre nella neve. Ci stiamo avvicinando al luogo della mia nascita.
str_npc1_home_description|Beh, i Khergit hanno sempre vissuto qui, fin dai tempi antichi, quando l'imperatore gli dava terre e ricchezze per tenere lontane le altre tribù. Mi han detto che mio nonno era un capo Khergit, sebbene mia madre non l'abbia mai conosciuto, come io non conobbi mio padre. Quando mia madre era una ragazzina, i Khergit iniziarono a muoversi in massa oltre le montagne, e ora c'è un Khergit Khan a Tulga.
str_npc2_home_description|Si dice che i Nords siano una mandria di barbari assetati di sangue, ma hanno un istinto naturale per il commercio, non tutti lo sanno. Fanno raccogliere lino su e giù per la costa, poi lo riportano qui e creano indumenti. Non può competere con le sete di Jelkala e il velluto come bene di lusso, ma è un ottimo indumento estivo e lo si può anche usare per le vele delle navi. Inoltre, cosa molto importante, nessuno in Calradia si era mai occupato prima di loro di creare indumenti col lino.
str_npc3_home_description|Veluca vive di inverni bagnati ed estati calde, ma la gente qui costruisce grandi cisterne d'acqua per le colture. Coltivano viti, il vino di Veluca è famoso, {signore/signora}... E chi può permetterselo costruisce giardini, dove alberi da frutto crescono in abbondanza, e in cui noi passiamo le serate ascoltando musica, giocando a scacchi o, più semplicemente, apprezzando i profumi dell'aria notturna.
str_npc4_home_description|Beh, vedete, il Re di Swadia dichiarò che questa era la sua personale riserva di caccia, e disse che avrebbe fatto uccidere chiunque avesse osato scagliare una freccia qui dentro. Cos'è successo? Un padre di famiglia affamato non ha resistito alla tentazione di portarsi via qualcosa, lo sceriffo del Re l'ha ucciso e gli ha portato via la terra. Suo figlio, piuttosto che morire di fame è diventato un bandito. Ora chi ha bisogno di fuggire da un debito, da una moglie assillante o da un fastidioso nobile vendicativo, arriva e si unisce a lui e alla sua banda, vivendo di maiali selvatici, frutti di bosco e borse d'incauti viaggiatori.
str_npc5_home_description|I Khergit sono sempre venuti qui, per commerciare e razziare, e negli ultimi anni dell'Impero abbiamo iniziato a sistemarci. Proprio come i Vaegir, gli Swadian, i Rhodok e i Nords, abbiamo preso la moneta dell'imperatore per tenere le altre fazioni a bada. Ma quando la Grande Orda ha attaccato la nostra patria il giorno del compleanno di mio nonno, ci siamo trasferiti in forze in questa regione.
str_npc6_home_description|Qui nella valle di Suno, il nostro dialetto e i nostri costumi sono i più vicini di tutta Calradia a quelli del vecchio Impero. Coltiviamo vino e olive, entrambi portati da oltreoceano in questa terra per mano degli imperatori e inoltre seguiamo le vecchie leggi di Calradia. Manteniamo le nostre promesse e paghiamo i nostri debiti.
str_npc7_home_description|Prima di sposarmi, e prima di essere preso dai banditi, io vivevo qui. Sono nato in una stalla e ho trascorso la mia infanzia nei campi. I nostri signori erano Nords, ma non li abbiamo mai visti in faccia. Vedevamo solo i loro servi e i loro uomini armati. Mio padre, codardo, si arrese per primo.
str_npc8_home_description|Non avete sentito la storia? Quando Gundig Hairy-Breeks è arrivato a Calradia dal Nord, ha piantato la sua bandiera sul promontorio e dichiarato che sarebbe rimasta lì fino a quando non fosse riuscito a reclamare la sua 'eredità'. La sua 'eredità', così la chiamò. Gundig aveva creduto al mago che gli disse che l'imperatore aveva lasciato Calradia ai Nords, quando in realtà gli diede giusto una piccola striscia di terra lungo la costa, in modo da poter far mangiare i suoi equipaggi.
str_npc9_home_description|I Nords stavano risalendo il fiume con le loro lunghe navi. Gli anziani dei villaggi della costa avrebbero potuto fermarli, ma erano più codardi di quanto non lo siano ora e decisero di versare loro una tassa ogni anno, nota come Nordgeld, pur di essere lasciati in pace. Ma il re dei Vaegir non volle pagare. Mio padre decise di passare oltre le montagne, a combattere con loro. Tre estati di fila provarono a prendere la rocca, e tre volte i Vaegir non glielo permisero.
str_npc10_home_description|Ai tempi di mio padre gli Swadian avrebbero voluto conquistarci, e renderci dei loro servi. Ma Grunwalder, un vecchio veterano di guerra delle colline, ci ha mostrato come formare una linea di difesa con lance e balestre per fermare una carica Swadian. Cadde in battaglia, ma la gente decise di dare il suo nome al castello che venne costruito qui, proprio dove cadde, quindi ricordiamo quegli insegnamenti e possiamo rimanere sempre fermi e determinati davanti a un attacco di cavalleria nemico.
str_npc11_home_description|Vengo da Praven. Lo conoscete il detto, {signore/signora}... 'L'orzo cresciuto a Uxkhal è fatto dentro la birra di Praven, e di questo siamo tutti contenti.' Non so bene cosa voglia dire, {signore/signora}, ma è la verità sull'orzo. E grano, e avena. Si coltivano più cereali qui nella valle di Uxkhall che in tutto il resto di Calradia, e la nostra birra è la migliore. Lo potete vedere dal solo... Il terreno è ricco e nero, fertile, e profuma di sazietà, abbondanza e buoni raccolti.
str_npc12_home_description|Il signore del Castello di Almerra ha avuto un edema, e ha richiesto un medico da Uxkhal che venisse a curarlo. Come un diligente dottore educato all'università, è andato da Galerian per una cura. Galerian consigliava il sun-gold per questo tipo di malattie. Gli scritti di Galerian erano totalmente inutili all'epoca dell'Impero e sono doppiamente inutili oggi, ma a volte per puro caso azzeccava la cura giusta: il sun-metal, a piccole dosi, può curare certi tipi di idropisia. Comunque, dosi massicce di sun-metal sono velenose, e questo gli adoratori di Galerian non l'hanno mai capito.
str_npc13_home_description|Sono arrivato qui con un piccolo corpo armato di Swadia, ma sono stati catturati dai Rhodok nel bosco e i loro cavalieri hanno tagliato in due gli alberi. Sono fuggito e ho trovato un rifugio in riva al lago, ospite di un allevatore che non avete mai visto. Mi ha portato in una grotta vicino ai pascoli, e ha voluto darmi formaggio e bacche, e raccontarmi le leggende delle montagne. Si dice che il lago sia un passaggio per il sottosuolo, e alle volte dei fumi velenosi risalgono dal fondo fino alla superficie!
str_npc14_home_description|Ho detto provare perché secondo me, i Vaegir non vedono di buon occhio la disciplina. Ottimi arcieri, l'abbiamo visto tutti, e anche buoni cavalieri, ma non hanno fegato per combattere in mischia. Le loro abilità tornano utili per Khergit e Rhodok, in particolare quando si possono nascondere dietro qualche barriera. Ma ho visto un cavaliere di Swadia tagliare in due le file dei Vaegir molto meglio. Ora, un Rhodok con un giavellotto è destinato a fermare uno Swadian durante la sua corsa, e di solito lo fa.
str_npc15_home_description|Come la maggior parte dei castelli qui intorno, fu fondato da vecchi imperiali di Calradia. Non potete vederli completamente ricostruiti, ma le lastre di pietra sono delle stesse dimensioni di una casa. Devono essere stati davvero dei maghi in quei giorni, altrimenti non vedo come degli uomini avrebbero potuto spostare quelle pietre. È anche un bel posto... Culmarr si trova proprio di fronte al primo passo di Calradia, e ha permesso al signore locale di incassare un bel pedaggio per i tre mesi all'anno in cui non nevicava.
str_npc16_home_description|La neve in queste valli non si scioglie fino a primavera inoltrata, e la terra è dura da arare. È possibile coltivare un poco di grano, ma niente di più. Qui non esiste ricchezza. Nei boschi ci sono cervi, conigli, linci, carni e pellicce, le montagne hanno ferro, e i commercianti possono trarre abbastanza pesce dal fiume fino alla costa per avere abbastanza di viveri per un inverno.
str_npc1_home_description_2|Non hanno problemi con noi vecchi di Calradia, e non chiedono tanto in tasse... Niente che non saremmo in grado di pagare, in ogni caso. La terra non è abbastanza fertile per la maggior parte delle colture. Francamente, va bene solo per allevare i cavalli, e anche in questo caso il vantaggio si riduce a una piccola parte dell'anno, in inverno, dopo le piogge. In estate portano le loro greggi sulle montagne. Carovane arrivano sulle colline e portano spezie a Tulga, ma non vediamo molti di quei soldi giù nei villaggi.
str_npc2_home_description_2|Avevo caricato zafferano, cannella, chiodi di garofano, pepe e altre spezie insieme a un baule pieno di denaro. Pensavo che avrei potuto comprare biancheria, pellicce di velluto, ferro e lana, e con il resto avrei potuto prendere altri cavalli per portare tutto indietro, e ne avrei comunque tratto profitto. Non avevo immaginato che i Khergit non hanno troppo rispetto per gli altri quando si tratta di mantenere il monopolio nel commercio.
str_npc3_home_description_2|I poeti chiamano Veluca 'il paradiso', e io dico che non esagerano.
str_npc4_home_description_2|Mi chiedete come faccio a saperlo? Beh... Sono stato preso da loro, volevano un riscatto ma poi mi hanno lasciato andare. È tutto quello che posso dirvi.
str_npc5_home_description_2|Ovviamente, sapete come vanno le cose. Quelli della generazione di mio padre erano duri guerrieri provenienti dalle montagne, ma questa generazione ora passa più tempo a gestire i suoi patrimoni e i propri affari in città che a fare pratica di tiro con l'arco. La prossima generazione crescerà tra gli agi e il vino di Veluca e perderà le sue terre per l'invasione dei prossimi analfabeti provenienti dalle montagne, basta guardarli. Così è, e così sarà per sempre.
str_npc6_home_description_2|Noi di Suno non dimentichiamo mai un insulto, e ogni cosa sbagliata che ci viene fatta. Il vecchio onore di Calradia, oso dirlo, ha portato al mio attuale stato di decadenza. Ma nonostante questo, sono orgoglioso di venire da questa regione. Il nostro signore è un vassallo del Re di Swadia a Praven, ma per quel che ci riguarda lui è solo un altro capo barbaro, i veri eredi dell'impero siamo noi.
str_npc7_home_description_2|Siamo stati autorizzati a pescare sul fiume, razziare maiali, coltivare canneti e qualunque altra cosa possa crescere quando siamo nei nostri appezzamenti privati, ma nei campi aperti possiamo solo coltivare lino e tessuti da mandare a Sargoth. Siamo sempre stati affamati e deboli, e nessuno ha mai avuto il coraggio di ribellarsi.
str_npc8_home_description_2|I racconti dei menestrelli dicono che Gundig usò un pretesto per sollevare una guerra civile... Non che noi Nords avessimo bisogno di una scusa, sia chiaro. Ha veleggiato per il mare, e attraversato la Calradia del nord portando la sua bandiera, e marciato alla fortezza di Rivacheg. I Vaegir l'hanno ucciso, e hanno buttato la sua bandiera tra le onde. Ma i Nords tengono duro, e un giorno tutta Calradia sarà nostra.
str_npc9_home_description_2|Come i Nords chiamano i loro parenti da oltremare, il Re dei Vaegir chiama il suo popolo dalle montagne. Mio padre non mi ha diseredato, e ho dovuto fare un giuramento di fedeltà al signore di Reyvadin. Ma così come ho perso parte della mia eredità, ho anche visto aumentare i miei doveri. Questa è la sconfitta dei Vaegir.
str_npc10_home_description_2|Coltiviamo gelsi per produrre seta e kermes per i coloranti. Li portiamo a Jelkala dove vengono tessuti nel più fine velluto che possiate immaginare... Non che io non abbia abbastanza denaro per comprare del velluto, sia chiaro. Ma gli artigiani di Jelkala costruiscono anche ottime balestre, quindi non sono invidioso dei loro piccoli lussi.
str_npc11_home_description_2|Il Re di Swadia vi dirà che Praven è stata la città più grande di tutto l'impero, e che per questo motivo oggi detta legge. Sapete, non m'interesso molto di politica, {signore/signora}... Ho venduto viveri ad ogni esercito che abbia mai marciato a Calradia, e vi dico che non gli avrei mai dato neanche un biscotto senza prima vedermi cadere il duro e freddo denaro sul palmo della mia mano. Come mai questi grandi nobili non devono pagare le loro tasse, non lo saprò mai. Ma sto parlando troppo, vero?
str_npc12_home_description_2|La differenza tra un veleno e una cura sta nelle dosi. Ditelo a chiunque incontriate, e aggiungete che l'avete sentito dire da 'Jeremus il Grande'. La gente pensa che tutte le perle di saggezza siano state scritte ai tempi della vecchia Calradia, ma credo possiate imparare due volte tanto da un'ostetrica di un villaggio e da un'attenta osservazione della natura, che da tutto il corpus imperiale. Per questo mi hanno espulso dall'università, anche se a ripensarci è stato un bene. In ogni caso, ho fatto tornare quel signore a casa sulle sue gambe, e lui mi ha dato un sacco d'oro e il cadavere di un criminale appena impiccato da dissezionare.
str_npc13_home_description_2|Nel caso dovessi andarla a cercare, e talvolta mi chiedo se ci sia un piccolo in fasce che porta sulla schiena, mentre lei porta le mucche al pascolo ogni mattina... Ho intenzione di provare a cercarla... Ma no, no, non bisogna mai guardare indietro.
str_npc14_home_description_2|Se qualcuno verrà mai a cercare di unire queste terre, io mi unirò a lui anche senza compenso. Ho messo insieme un esercito di lance Rhodok con fanti Nords ai lati e arcieri di Swadia di fronte, e poi qualche scout Khergit per scovare il nemico e scoprire dove si dirige, con qualche lanciere di Swadia per finirlo. Ho portato questo esercito sulle montagne e ho fatto inginocchiare il mondo intero per Calradia.... Naturalmente, questo è quello che pensavano gli imperatori, ma alla fine le fazioni divisero i loro imperi.
str_npc15_home_description_2|Ecco la cosa divertente... Quando i Rhodok si ribellarono per la prima volta agli Swadian, dissero tutti che non avrebbero mai permesso l'arrivo di qualche signore nobile a imporre le sue regole. Potete indovinare voi stesso quanto tempo è durato. Un capo Rhodok delle colline si stabilì a Culmarr, si fece chiamare 'conte', e i bravi borghesi di Jelkala e Veluca dovettero leccare i suoi stivali per vendere vino e velluti fuori da Calradia. Se si vuole tenere i conti sotto controllo, e fare in modo che i contadini coltivino grano per le città e non per venderlo al miglior offerente, allora avete bisogno di un Re, non credete? I Rhodok non sono diversi dagli altri, anche se provano a parlare di stupidaggini come la libertà.
str_npc16_home_description_2|È stata una vita piena di privazioni, e ci sono sempre state troppe bocche da sfamare. Il Re dei Vaegir e il Khergit Khan non ci hanno facilitato le cose, spremendo tasse dai villaggi che controllavano e razziando e saccheggiando quelli che non erano in loro possesso. Forse avrei mostrato lo stesso atteggiamento, con eserciti e castelli a mia disposizione. Con la potenza puoi fare qualsiasi cosa, se sei debole non puoi far altro che sottometterti a chi è più forte di te.
str_npc1_home_recap|Vengo dalle alte steppe, vicino a {s21}.
str_npc2_home_recap|Sono nato al di là delle montagne. Sono un mercante, figlio di un mercante, e nipote di un mercante.
str_npc3_home_recap|Solitamente stavo a casa di mio padre a {s20}, ma ho trascorso la maggior parte della mia infanzia a {s21}.
str_npc4_home_recap|I nostri possedimenti ancestrali sono al di là delle montagne, dall'altra parte del passo di Culdarr.
str_npc5_home_recap|Sono nato nei territori montuosi al di là delle montagne, dopo Tulga, ma ho i parenti a {s21}.
str_npc6_home_recap|La mia famiglia sta a {s21}, ma non posso sopportare il fatto di doverla affrontare.
str_npc7_home_recap|Sono nato in un tugurio in mezzo a una palude, non lontano da {s21}.
str_npc8_home_recap|Sono nata oltremare, nelle terre del Nord, e anche le proprietà di mio marito erano nelle terre del Nord.
str_npc9_home_recap|Vengo dalla madrepatria dei Vaegir al di là delle montagne, dove vissero i lord dei Vaegir prima che l'impero li portasse in Calradia.
str_npc10_home_recap|Nato e cresciuto a  Jelkala, {Fratello/Sorella}, e spero di poter passare qualche giorno lì. Avevo però in mente di vedere un po' di mondo, prima, perciò ho preso la mia balestra e mi sono buttato nel mezzo della guerra.
str_npc11_home_recap|Sono nato tra le fila di un'armata, e lì ho sempre vissuto. I miei sono di Praven, comunque, perciò ho pensato che potrebbe essere la mia casa come la potrebbe essere qualunque posto.
str_npc12_home_recap|Vengo dall'oltremare. Ho viaggiato nel mondo alla ricerca di tradizioni e informazioni mediche.
str_npc13_home_recap|Oh, lontano da qui, {mio signore/mia signora}, altrimenti avreste già sentito parlare di me e non avreste sentito il bisogno di chiedermi queste cose.
str_npc14_home_recap|Sono il figlio più giovane del Conte di Geroia.
str_npc15_home_recap|Vengo da oltre le colline. Ma Calradia è il luogo da dove il denaro passa in questi giorni, se il tuo settore è la guerra.
str_npc16_home_recap|Perché, comandante, sono nato nel villaggio di Uslum, ma mia madre perse i suoi possedimenti per gli intrighi di un parente e ha dovuto mettersi sotto la protezione di un lord vicino.
str_npc1_honorific|capo
str_npc2_honorific|{signore/signora}
str_npc3_honorific|{signore/signora}
str_npc4_honorific|{signore/signora}
str_npc5_honorific|{playername} Bahadur
str_npc6_honorific|Comandante
str_npc7_honorific|Comandante
str_npc8_honorific|{playername}
str_npc9_honorific|{mio buon signore/mia buona signora}
str_npc10_honorific|{Fratello/Sorella}
str_npc11_honorific|{Ragazzo/Ragazza}... Voglio dire, Comandante
str_npc12_honorific|Comandante
str_npc13_honorific|Oh Comandante
str_npc14_honorific|Comandante
str_npc15_honorific|Comandante
str_npc16_honorific|Comandante
str_npc1_kingsupport_1|Questa è una grande idea, comandante. Tutti questi Re e Khan e feudatari che ora governano, con le loro prigioni e forche e patiboli, le insegne, le frustate e le impiccagioni per ogni uomo che potrebbe essere costretto dal pianto dei suoi figli a rubare un pezzo di pane, o forse un cavallo. Calradia merita qualcosa di meglio.
str_npc2_kingsupport_1|Bene Comandante, vi offro il mio sostegno. Penso che darete a Calradia il tipo di governo illuminato di cui da tanto tempo ha bisogno.
str_npc3_kingsupport_1|Beh, mio signore... Io mi preoccuperei per voi stesso... Le nostre cronache ci dicono che il potere tende a corrompere. Ma alla fine, mi conforta la misericordia e il giudizio che avete dimostrato come Comandante di questa Compagnia.
str_npc4_kingsupport_1|Beh, Comandante, credo che sareste il tipo di {Re/Regina} che un gentiluomo nato, come son io, sarebbe fiero di seguire in battaglia...
str_npc5_kingsupport_1|Una bella idea, Bahadur, voi avete dimostrato di saper governare gli uomini. Badate di governarli con giustizia, anche se...
str_npc6_kingsupport_1|Non posso giudicare la fondatezza giuridica della vostra richiesta. Tuttavia, credo che a differenza degli altri re qui, avete la capacità di unificare questa terra, e che potreste porre termine a queste guerre senza fine, tra regno e regno, tra nobile e nobile, e fratello contro fratello, che ci hanno portato tutti in disgrazia agli occhi del cielo.
str_npc7_kingsupport_1|Si, lo farò volentieri. Voi sapete come trattare banditi e ruffiani.
str_npc8_kingsupport_1|La saga di Bjernstad ci insegna che un uomo che compie grandi imprese, oltre le possibilità di quelle degli altri uomini del suo tempo, può rivendicare il trono. Direi che voi potreste fare tale rivendicazione.
str_npc9_kingsupport_1|Sono d'accordo, mio signore. Sono un Vaegir per diritto di sangue, ma Yaroglek non si è mosso a mia difesa quando sono stato defraudato della mia eredità. Quindi non gli devo niente, e dico: 'Lasciate che il trono vada al più valoroso!' Quale voi siete, {signore/mia signora}.
str_npc10_kingsupport_1|Beh, {Fratello/Sorella}, suppongo che debbano esserci {Re/Re e Regine}, e se devono esserci {Re/Re e regine}, allora voi potreste essere {un Re buono come un altro/una Regina buona come un'altra}...
str_npc11_kingsupport_1|Questa si che è una bella idea, {ragazzo/ragazza}! Suppongo che dovrò imparare a chiamarvi 'Maestà', o 'Vostra Grazia', quindi...
str_npc12_kingsupport_1|Sono sicuro che voi potreste essere un buon Re, Comandante. Mi reputo d'essere un buon giudice del carattere altrui, e voi avete dimostrato di possedere un carattere compassionevole che supera di gran lunga quello di questi altri che si definiscono monarchi.
str_npc13_kingsupport_1|Che possiate essere un buon Re, {signore/mia signora}! Molte sono le storie in cui l'eroe ha mostrato di possedere la dignità d'indossare una corona attraverso il proprio valore. Forse conoscete la canzone di Antaran figlio di Ashdab, che è emerso dall'oscurità per diventare Re di Dabarah. Uno splendido racconto!
str_npc14_kingsupport_1|Beh, signore, i Cieli hanno istituito una gerarchia in questo mondo, e normalmente non vorrei avere niente a che fare con un suo sconvolgimento. Ma penso anche che i Re di queste terre siano deboli e mi dispiace molto, non è dignitoso per un Re, e questo lascia la corona libera di essere presa dal miglior {uomo/governante}, uno come voi.
str_npc15_kingsupport_1|Beh, voi pagate i vostri uomini in tempo, quando potete, parlando in linea generale. Questa è la miglior qualifica che esiste per la regalità, nel mio libro. Voi mostrate abbastanza rispetto per i diritti degli altri.
str_npc16_kingsupport_1|Perché no, Comandante? Sono sicuro che sareste {un buon Re/una buona Regina}, e certamente spero che vi ricorderete della piccola gente come me che ha fatto il possibile per la vostra scalata al trono.
str_npc1_kingsupport_2|Certo, Comandante. Ma lasciatemi dire cosa potrebbe portare gli altri dalla vostra parte, in particolare la gente povera come me. Loro dicono che ai vecchi tempi, ogni nuovo imperatore, salendo al trono, decretava un'amnistia per tutti i prigionieri, dando alla gente una seconda possibilità... Come voi avete fatto con me, Comandante.
str_npc2_kingsupport_2|La maggior parte dei lord di questa terra... Bene, loro non hanno mai tenuto un denaro senza riscattare gli affitti o saccheggiare. Voi, d'altra parte, avete una certa esperienza nel commercio, dei rischi legati ad assicurarsi di non far morire di fame gli abitanti di Sargoth mentre c'è abbondanza di cereali a Praven, per farvi un esempio.... Se vi va bene, Comandante, ho trovato qualche supporto di mercanti e borghesi di questo regno.
str_npc3_kingsupport_2|Lo vorrei. Ma vi consiglio vivamente di ristabilire una vecchia tradizione imperiale di Calradia: il consiglio dei lord e del popolo, formato dai nobili e dalle persone colte, con il potere di non tener conto delle nuove tasse o di altre misure tiranniche, sarebbe una buona scelta. È per il vostro bene, {signore/mia signora}.
str_npc4_kingsupport_2|Certamente, {Comandante/mia signora}. Il trucco sta nel farvi seguire. Come sapete, la discendenza di una persona è un fattore determinante per il rispetto. Forse avete un antenato di cui non sono a conoscenza?
str_npc5_kingsupport_2|Si, Bahadur. Ma c'è qualcosa che dovrei dirvi, a nome degli uomini come me. Sarebbe una grande gioia per noi, sentire dal khan che ripristinerà un antico diritto. Dai tempi dei vecchi imperatori, gli uomini della steppa hanno goduto del diritto di poter portare il loro gregge a nuovi pascoli o al mercato, che implica il passaggio di proprietà delle terre dei grandi signori di questo regno.
str_npc6_kingsupport_2|Lo vorrei. Vorrei dire a chiunque delle vostre gesta a nome dei deboli e degli indifesi, della vostra capacità di condurre gli uomini anche con poche possibilità di successo e dirgli che se diventerete {re/Regina}, ci sarà una legge e un po' di pace, dalle montagne dei Rhodok alle distese dei Vaegir, dalle alte steppe alle spiagge nordiche.
str_npc7_kingsupport_2|Si, Comandante, lo vorrei. Un dovere di {un Re/una Regina} è quello di tenere al sicuro le strade per il popolo, fare in modo che una donna possa andare a raccogliere la legna da ardere o attingere l'acqua senza preoccuparsi che uno schifoso fuorilegge possa avvicinarsi. Comunque, avete spaccato un bel po' di crani di banditi. Gli uomini avrebbero paura anche di incrociare lo sguardo di una donna se voi foste {Re/Regina}.
str_npc8_kingsupport_2|Lo vorrei... Ad una condizione. Siate Re di Praven o Sargoth o dovunque vogliate, una volta c'era una regola: Se qualcuno subisce un torto da un'altra persona per le terre, il bestiame o qualsiasi cosa dovete far risolvere la questione con la spada, che sia il Cielo a decidere chi sta nel giusto.
str_npc9_kingsupport_2|Lo vorrei, e non solamente io. Ma ecco quello che penso... Avete bisogno di mostrare ai nobili lords che farete risorgere i loro antichi diritti. Ora come ora, Calradia è in confusione... I lords posseggono le terre, ad eccezione della foresta che appartiene al Re, ma le città hanno il diritto di regolare le tasse all'interno dei propri cancelli, mentre i cittadini comuni possono usare i pascoli nei martedì dispari, eccetto a Rivacheg quando è mercoledì. Chi può tenere a mente tutto questo? Allora io dico, facciamo le cose semplici, com'erano ai vecchi tempi... Prima il {Re/Sovrano}, poi i lords, infine tutti gli altri.
str_npc10_kingsupport_2|Senza dubbio, {fratello/sorella}. Ma vi chiedo di prendere in considerazione un mio pensiero. Se diverrete {Re/Regina}, dovreste aprire un tribunale anche per le persone comuni, e non solamente per i nobili di sangue blu. Un uomo deve poter essere giudicato e condannato, ed avere il diritto di conferire direttamente con voi. Al momento, solo i lord hanno questo diritto, diritto, quando invece ogni uomo di Calradia dovrebbe averlo.
