dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Eu quero adiar a nomeação de um Lorde até que eu me aconselhe com meus súditos. 
dlga_lord_start:close_window.3|Eu recebi o presente, dado a mim por [s11} {s10}. Foi um nobre gesto, {senhor/senhora}, e lamento ter tido esta desavença.
dlga_lord_start:close_window.4|Eu recebi o presente, dado a mim por {s11} {s10}. Estou disposto a deixar o passado para trás em relação a {reg4?ela:ele}.
dlga_lord_start:close_window.5|Eu recebi o presente, dado a mim por {s11} {s10}. Bah! Você acha que pode comprar minha amizade?
dlga_lord_start:close_window.6|Eu recebi o presente, dado a mim por {s11} {s10}. Embora {reg?ela:ele} seja muito {reg?estimada:estimado} por mim, não posso esquecer nossas diferenças.
dlga_lord_talk:denounce_lord_results|Fiz o que sugeriu, e denunciei {s4}
dlga_denounce_lord_results:lord_pretalk|Sim, e espero que {s4} pense duas vezes antes de confiar mais feudos, honras ou deveres a ele. Estamos gratos a você.
dlga_denounce_lord_results:close_window|Sim, você o fez -- e ficamos sabendo que ele o forçou a remover o que disse, saindo dessa confusão mais forte como nunca esteve. Me perdoe, {senhor/senhora}, se minha gratidão para você não for aquilo que espera.
dlga_lord_talk:lord_quest_intrigue_result|Fiz o que pediu, e falei com {s5} sobre o perigo demonstrado por {s4}.
dlga_lord_quest_intrigue_result:lord_pretalk|Ouvimos falar. Espero que {s4} pense duas vezes antes de confiar mais feudos, honras ou deveres a ele. Estamos gratos a você.
dlga_lord_quest_intrigue_result:close_window|Ouvimos falar -- mas infelizmente {s5} parece não ter ouvido. Ainda assim, estamos gratos por ter tentado.
dlga_lord_talk:lord_lend_companion_end|Eu gostaria que {s14} fosse devolvido a mim, {s65}, se você não mais precisar dos serviços {reg3?dela:dele}.
dlga_lord_lend_companion_end:lord_pretalk|Você já tem muitos homens em sua companhia, {playername}. Você não poderia liderar mais nesse momento.
dlga_lord_lend_companion_end:lord_pretalk.1|Certamente, {playername}. {reg3?Ela:Ele} é {reg3?uma moça:um rapaz} inteligente, você é {um homem/uma mulher} de sorte por ter companheiros tão valorosos.
dlga_lord_talk:lord_ask_to_collect_debt|Vim coletar o debito que tens com {s1}.
dlga_lord_ask_to_collect_debt:lord_ask_to_collect_debt_2|Oh. Bem, {s1} realmente me emprestou alguma prata há um tempo atrás, mas eu fiz muitos favores para ele também que julguei ter meus débitos pagos.
dlga_lord_ask_to_collect_debt_2:convince_begin|{s1} considera isso um débito. Ele me pediu para que falasse com você nos interesses dele.
dlga_lord_ask_to_collect_debt_2:lord_pretalk|Então não vou me alongar nesse assunto.
dlga_convince_accept:close_window|Minha dívida com {s8} venceu há muito tempo e tem sido uma grande fonte de desconforto para mim. Obrigado por aceitar o dinheiro por ele. Por favor entregue estes {reg10} dinares e agradeça-o por mim.
dlga_lord_talk:lord_ask_to_make_peace|Por favor, {s64}, é hora de encerrar essa guerra entre {s12} e {s13}.
dlga_lord_ask_to_make_peace:lord_ask_to_make_peace_2|Eh? Não sei se ouvi bem, {playername}. A guerra não é assim facilmente esquecida por qualquer lado do conflito, e eu sou bom de memória. Por que devemos ter qualquer interesse em negociar paz com esses cães?
dlga_lord_ask_to_make_peace_2:convince_begin|Talvez eu possa convencê-lo...
dlga_lord_ask_to_make_peace_2:lord_pretalk|Esqueça, a paz pode esperar.
dlga_convince_accept:close_window.1|Você... me convenceu, {playername}. Muito bem então, tem minha bênção para levar a oferta de paz para {s14}. Não posso garantir que eles aceitarão, mas na pequena chance que eles o façam, eu também aceitarei.
dlga_lord_talk:lord_challenge_duel_for_lady|Eu quero que retire suas acusações contra {s1}.
dlga_lord_challenge_duel_for_lady:lord_challenge_duel_for_lady_2|Que acusações? Todo mundo sabe que ela vai para cama com cavalariços e qualquer um que ela puser as mãos enquanto seu marido está fora. Eu meramente repeti as palavras que muitos já falaram.
dlga_lord_challenge_duel_for_lady_2:lord_challenge_duel|Você vai retirar essas mentiras, tratante, ou as colocará à prova contra minha espada!
dlga_lord_challenge_duel_for_lady_2:lord_pretalk|Se diz assim...
dlga_lord_challenge_duel:close_window|{s15}
dlga_lord_talk:lord_challenge_courtship_rival|Abandone suas pretensões sobre {s5}!
dlga_lord_challenge_courtship_rival:lord_challenge_courtship_rival_2|Ou o que? Você pretende duelar por uma dama? Quero que saiba -- nosso suserano não aprova tal tipo de desafio, uma vez que devemos estar unidos para enfrentar nossos inimigos estrangeiros.
dlga_lord_challenge_courtship_rival_2:lord_challenge_duel|Você teme lutar comigo?
dlga_lord_challenge_courtship_rival_2:lord_pretalk|Perdoe-me. Eu falei sem pensar...
dlga_lord_talk:lord_message_delivered|Trago uma mensagem de {s9}.
dlga_lord_message_delivered:lord_pretalk|Oh? Deixe ver... Bem, bem, bem! Foi muito bom ter me trazido isso, {playername}. Leve meu selo como prova de que recebi a mensagem e transmita meus cumprimentos para {s9} quando vê-lo novamente.
dlga_lord_talk:lord_message_delivered_enemy|Trago uma mensagem de {s9}.
dlga_lord_message_delivered_enemy:close_window|Oh? Deixe ver... Hmmm. Foi muito bom ter me trazido isso, {playername}. Leve meu selo como prova de que recebi a mensagem e transmita meu obrigado.
dlga_lord_talk:lord_deliver_message_prisoner|Trago uma mensagem de {s11}.
dlga_lord_deliver_message_prisoner:lord_deliver_message_prisoner_2|É verdade isso? Oh muito obrigado, {playername}! Você trouxe esperança e um pequeno raio de luz para estas paredes sombrias. Talvez algum dia possamos lhe dar algo em troca.
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2a|Foi um prazer, {s65}.
dlga_lord_deliver_message_prisoner_2a:close_window|Você não faz ideia o quão grato eu estou, {playername}. Obrigado e obrigado!
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2b|Não se preocupe, {s65}. Você terá muitas oportunidades quando estiver livre.
dlga_lord_deliver_message_prisoner_2b:close_window|Hah, é claro, {playername}. Minha eterna gratidão o acompanha.
dlga_lord_talk:lord_rescue_by_replace_offer|Não tema, estou aqui para resgatál{reg?a:o}.
dlga_lord_rescue_by_replace_offer:lord_rescue_by_replace_offer_2|Por Deus, você tem certeza? Qual seu plano?
dlga_lord_rescue_by_replace_offer_2:lord_rescue_by_replace_offer_3|Um simples ardil, {s65}. Se trocarmos nossas vestimentas, eu ficarei em seu lugar aqui na prisão, enquanto você escapa disfarçado como se fosse eu. Eu paguei os guardas um suborno considerável, pelo qual, tenho certeza que eles já devem ter comprado metade do estoque de vinho na taverna mais próxima. Com alguma sorte eles logo estarão tão bêbados que eles provavelmente não reconheceriam suas próprias mães, muito menos diferenciar eu de você. Pelo menos não até que você já esteja longe.
dlga_lord_rescue_by_replace_offer_3:lord_rescue_by_replace_offer_4|Hmm, pode funcionar... Mas o que acontece com você, {meu amigo/minha amiga}? Os guardas não ficarão felizes com essa trapaça. Você pode acabar passando um bocado de tempo nessa cela por isso.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5a|Não se preocupe, {s65}. Já estou começando a gostar daqui.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5b|Eu ficarei bem a medida que uma farta recompensa esteja me esperando ao final disso.
dlga_lord_rescue_by_replace_offer_5a:lord_rescue_by_replace_offer_6|Você é uma alma nobre, com certeza. Não esquecerei disso.
dlga_lord_rescue_by_replace_offer_5b:lord_rescue_by_replace_offer_6|É claro, {meu amigo/minha amiga}, é claro! Venha a mim quando ganhar sua liberdade, e talvez eu possa pagar esse débito que tenho contigo.
dlga_lord_rescue_by_replace_offer_6:close_window|Rápido, {s65}, vamos trocar nossas roupas. Já esta na hora de você sair daqui.
dlga_lord_talk:lord_ask_pardon_after_oath_renounced|{s66}, eu desejo restaurar meu antigo juramento a {s4}.
dlga_lord_ask_pardon_after_oath_renounced:lord_pretalk|Isso é muito grande para que eu decida, {playername}. Você deve procurar {s4}. Tal clemência é algo que ele deve decidir ou recusar.
dlga_lord_ask_pardon_after_oath_renounced:lord_ask_pardon_terms|{s11}.
dlga_lord_ask_pardon_terms:lord_pretalk|Como quiser, {s65}. Vou aceitar seu julgamento.
dlga_lord_ask_pardon_terms:lord_pretalk.1|Uma vergonha, {s65}. Uma vergonha.
dlga_lord_ask_pardon_terms:lord_pretalk.2|Muito bem, vá e morra sem mim.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace|Aham, estou pronto.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected|Pensando bem, não. Não quero estar as suas ordens novamente.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace.1|Aham, eu concordo com esses termos.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected.1|Esse é um preço muito alto, {s65}. Eu devo recusar.
dlga_lord_ask_pardon_after_renounce_peace:lord_pretalk|Excelente. Embora tenha se perdido de nós, {playername}, ficamos felizes que você achou o caminho correto novamente. Eu portanto restauro sua fidelidade a mim. Erga-se mais uma vez como {um honorável homem/uma honorável mulher} servindo a mim. 
dlga_lord_ask_pardon_terms_rejected:close_window|Então suma da minha frente, traidor! Desapareça, e não volte mais!
dlga_lord_talk:lord_ask_pardon|Eu gostaria de fazer paz com {s4}.
dlga_lord_ask_pardon:lord_pretalk|Quer realmente, {playername}? Então guarde sua espada. Dê paz a todos nós.
dlga_lord_ask_pardon:lord_pretalk.1|{playername}, você é {um lorde/uma senhora} sem um mestre, possuindo terras em seu nome, com nenhum pingo de legitimidade. Nenhum rei em Calradia aceitaria uma paz duradoura com você.
dlga_lord_ask_pardon:lord_pretalk.2|Fazer a paz quando tenho vantagem sobre você? Acho que não.
dlga_lord_ask_pardon:lord_pretalk.3|Não vejo como a paz seja do meu interesse.
dlga_lord_ask_pardon:lord_truce_offer|Sim... Estou cansado de lutar com você. Ofereço uma trégua de quarenta dias. Se você mantiver sua palavra e não molestar minhas terras e súditos, poderemos falar novamente...
dlga_lord_truce_offer:close_window|Eu aceito. Vamos parar com essa guerra, bom, pelo menos por enquanto.
dlga_lord_truce_offer:lord_pretalk|Pensando bem, tal acordo não esteja no nosso interesse.
dlga_lord_ask_pardon:lord_ask_pardon_2|Hmm. Eu poderia utilizar da minha considerável influência para arrumar um perdão para você, {playername}, mas algumas pessoas veem você como um inimigo e não ficarão satisfeito a menos que você pague tributo. Contudo, você precisa de no mínimo {reg16} dinares para fazer amigos em {s4}.
dlga_lord_ask_pardon:lord_pretalk.4|Não estou em posição de oferecer-lhe algo. Deve falar com {s7}.
dlga_lord_ask_pardon:lord_ask_pardon_2.1|Sim... Tenho preocupações maiores que você e seus seguidores. No entanto, você enganou meus súditos, e enganos exigem compensações. Por uma soma de {reg16} dinares, acho que poderia garantir seu perdão. O que me diz?
dlga_lord_ask_pardon:lord_pretalk.5|Desculpe. Não estou em posição de oferecer-lhe perdão
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_accept|Tenho o dinheiro comigo. {reg16} dinares.
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_deny|Temo que não possa pagar essa quantia.
dlga_lord_ask_pardon_tribue_accept:close_window|Excelente, {playername}. Usarei isto para reparar os erros que cometeu, e irei tornar conhecido que você não é mais um inimigo de {s4}.
dlga_lord_ask_pardon_tribue_accept:close_window.1|Excelente, {playername}. Usarei esse dinheiro para suavizar as coisas com aqueles que se opõe ao seu perdão, e tenho certeza que isso se espalhará rápido e você não será mais um inimigo de {s4}.
dlga_lord_ask_pardon_tribue_deny:lord_pretalk|Então não há nada que possa fazer para você, {playername}. Sem prata, sem perdão.
dlga_lord_talk:lord_active_mission_1|Sobre a tarefa que me incumbiu...
dlga_lord_talk:lord_switch_to_spouse|Vamos discutir sobre assuntos domésticos.
dlga_lord_switch_to_spouse:lord_pretalk|Vamos esperar até estarmos em um salão, minha esposa, pois é difícil de tratar de assuntos domésticos, inventários e etc. no campo.
dlga_lord_switch_to_spouse:spouse_talk|Certamente, minha esposa
dlga_lord_talk:lord_request_mission_ask|Você tem alguma tarefa para mim?
dlga_lord_talk:combined_political_quests|Você acha que podemos trabalhar juntos para avançarmos nossa posição nesse reino?
dlga_combined_political_quests:lord_pretalk|Não imagino que eu e você tenhamos interesses mútuos.
dlga_combined_political_quests:lord_pretalk.1|Hmm.. Talvez possamos discutir esse assunto em um local mais privado, em outra ocasião.
dlga_combined_political_quests:lord_pretalk.2|Hmm.. Eu realmente tenho uma ideia, mas seria necessário que você estivesse livre de controvérsia. Se você puder evitar discussões com os lordes de nosso reino por um tempo, talvez possamos tentar isso mais tarde.
dlga_lord_talk:lord_ask_resign_marshalship|Eu quero abdicar de minha posição como general
dlga_lord_ask_resign_marshalship:lord_pretalk|Que seja. Acho que vou ter que encontrar outra pessoa.
dlga_lord_talk:lord_ask_enter_service|{s66}, eu vim para oferecer minha espada em vassalagem!
dlga_lord_talk:lord_ask_enter_service.1|{s66}, eu gostaria de me tornar um {homem/mulher} fiel a sua causa e que possa lutar por sua honra.
dlga_lord_talk:lord_ask_leave_service|{s66}, eu desejo ser livre do juramento que fiz a você.
dlga_lord_talk:lord_talk_preoffer|Eu tenho uma oferta para você.
dlga_lord_talk:lord_give_troops|Eu quero dar algumas tropas a você.
dlga_lord_give_troops:lord_pretalk|Bem, eu poderia usar bons soldados agora. Obrigado.
dlga_lord_talk:lord_give_order_ask|Eu tenho uma nova tarefa para você.
dlga_lord_talk:lord_give_suggestion_ask|Posso sugerir algo?
dlga_lord_give_order_ask:lord_give_order|Pois não?
dlga_lord_give_suggestion_ask:lord_give_order|Eu irei seguir o que me disse, alteza. Se você planeja fazer uma campanha extensa, no entanto, talvez seja melhor você ser o general, para que não haja muita confusão.
dlga_lord_give_suggestion_ask:lord_pretalk|Minhas desculpas. Não o conheço suficiente para seguir seu conselho.
dlga_lord_give_suggestion_ask:lord_give_order.1|O que foi?
dlga_lord_give_order:lord_give_order_answer|Siga-me.
dlga_lord_give_order:lord_give_order_answer.1|Você me seguiria? Eu tenho um plano...
dlga_lord_give_order:lord_give_order_details_ask|Vá para...
dlga_lord_give_order:lord_give_order_details_ask.1|Ataque a vila de...
dlga_lord_give_order:lord_give_order_details_ask.2|Patrulhe perto de...
dlga_lord_give_order:lord_give_order_assault|Juntos, eu e você podemos tomar {s11}. Você deve atacar imediatamente...
dlga_lord_give_order:lord_give_order_details_ask.3|Estamos sob ataque, mas o inimigo pode ser repelido. Deve cavalgar em direção a...
dlga_lord_give_order:lord_give_order_details_ask.4|Estamos sob ataque, mas o inimigo pode ser repelido. Você deve reunir o exército e marchar em direção a...
dlga_lord_give_order_assault:lord_pretalk|{s4} está comandando este cerco. Eu sugiro falar com {reg4?ela:ele}
dlga_lord_give_order_assault:lord_pretalk.1|Não estamos prontos ainda. Precisamos de mais {s11}
dlga_lord_give_order_assault:close_window|Muito bem -- para os muros!
dlga_lord_give_order:lord_give_order_details_ask.5|Há uma fortaleza que pode ser facilmente tomada. Vá para...
dlga_lord_give_order:lord_give_order_details_ask.6|O inimigo está vindo com força. Fuja em direção a...
dlga_lord_give_order:lord_give_order_stop|Não precisarei de você por algum tempo. Está livre para fazer o que quiser.
dlga_lord_give_order:lord_give_order_stop.1|Você não precisa mais me acompanhar.
dlga_lord_give_order:lord_pretalk|Deixe para lá.
dlga_lord_give_order_details_ask:lord_pretalk|Não é do meu feitio por o rabo entre as pernas e fugir, sem ao menos ver o inimigo.
dlga_lord_give_order_details_ask:lord_pretalk.1|Você quer que eu derrame meu sangue fora de uma fortaleza enquanto os outros ficam só olhando? Acho que não.
dlga_lord_give_order_details_ask:lord_give_order_details|Aonde?
dlga_lord_give_order_details:lord_give_order_answer|{s1}
dlga_lord_give_order_details:lord_pretalk|Deixe para lá.
dlga_lord_give_order_stop:lord_pretalk|Tudo bem. Vou parar aqui.
dlga_lord_give_order_answer:lord_give_order|Isso dificilmente seria apropriado. Seria mais aconselhável se ao invés disso você me seguisse. Você tem mais alguma ideia?
dlga_lord_give_order_answer:lord_pretalk|Tudo bem. Vou fazer isso.{s12}
dlga_lord_give_order_answer:lord_pretalk.1|Desculpe. Tenho outros assuntos a resolver no momento.
dlga_lord_start:lord_talk.5|O que foi?
dlga_lord_talk:lord_give_order_call_to_arms_verify|Eu quero começar uma nova campanha. Vamos reunir o exército aqui.
dlga_lord_give_order_call_to_arms_verify:lord_give_order_call_to_arms_verify_2|Quer chamar todos os lordes para uma nova campanha?
dlga_lord_give_order_call_to_arms_verify_2:lord_give_order_call_to_arms|Sim. Devemos reunir todas nossas forças antes de marcharmos contra o inimigo.
dlga_lord_give_order_call_to_arms_verify_2:lord_pretalk|Pensando melhor, não será necessário chamar a todos.
dlga_lord_give_order_call_to_arms:lord_pretalk|Certo então. Vou enviar mensageiros e dizer a todos para virem aqui.
dlga_lord_talk:lord_give_order_disband_army_verify|Eu quero terminar a campanha e permitir que todos retornem aos seus lares.
dlga_lord_give_order_disband_army_verify:lord_give_order_disband_army_2|Quer terminar a campanha atual e liberar os lordes do serviço?
dlga_lord_give_order_disband_army_2:lord_give_order_disband_army|Sim. Não precisamos mais de todas nossas forças aqui.
dlga_lord_give_order_disband_army_2:lord_pretalk|Pensando bem, será melhor se ficarmos juntos agora.
dlga_lord_give_order_disband_army:lord_pretalk|Tudo bem. Eu direi a todos que estamos liberados do dever.
dlga_lord_talk:lord_talk_ask_something|Eu gostaria de te perguntar uma coisa.
dlga_lord_talk_ask_something:lord_talk_ask_something_2|Sim? O que foi?
dlga_lord_talk_ask_something_again:lord_talk_ask_something_2|Algo mais?
dlga_lord_talk_ask_something_2:lord_talk_ask_location|Eu quero saber a localização de alguém.
dlga_lord_talk_ask_something_2:lord_tell_objective|O que você e seus homens estão fazendo?
dlga_lord_talk_ask_something_2:lord_talk_ask_about_strategy|O que o reino está fazendo?
dlga_lord_talk_ask_about_strategy:lord_pretalk|Você deve decidir isso, já que é o general.
dlga_lord_talk_ask_something_2:lord_talk_ask_about_war|Como vai a guerra?
dlga_lord_talk_ask_something_2:lord_marriage_permission|{s19}
dlga_lord_marriage_permission:lord_pretalk|Pelos céus, homem -- se não dei permissão para vê-la, acha que eu daria permissão para casar-se com ela?
dlga_lord_marriage_permission:lord_pretalk.1|Não é correto forçar minha [s11} para casar contra a sua vontade ou sua opinião
dlga_lord_marriage_permission:lord_pretalk.2|Desculpe, rapaz -- não farei minha {s11} casar com você, quando eu preferia ver ela casando com {s12}
dlga_lord_marriage_permission:lord_marriage_permission_endowment|Esplêndidas notícias, meu jovem -- Eu ficarei orgulhos de tê-lo em nossa família. Agora, vamos discutir os termos do casamento. Seguindo nossos costumes, nós dois temos que garantir que {s11} tenha finanças suficientes para apoiá-la, no advento de circunstâncias imprevistas...
dlga_lord_marriage_permission_endowment:lord_marriage_permission_endowment_answer|Eu diria que, tendo em vista o prestígio de nossas duas casas, você deve providenciar um dote de {reg3} dinares, enquanto que eu providencio {reg4} dinares. Isso será a senhoria dela, como segurança, caso você não seja capaz de sustentá-la. O que me diz?
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_engagement_date|Muito bem -- que seja.
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_endowment_answer_delay|Não posso pagar isso no momento.
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_endowment_answer_no|É muito caro.
dlga_lord_marriage_permission_endowment_answer_no:close_window|Bem. Não posso permitir que minha filha case-se sem segurança, não é? Me avise se mudar de ideia.
dlga_lord_marriage_permission_engagement_date:close_window|Esplêndido! Vocês dois podem considerar noivos. Muito bem -- Devo planejar um grande banquete em {s24}, assim que as circunstâncias permitirem. Notificaremos você quando a hora chegar.
dlga_lord_marriage_permission_engagement_date:close_window.1|Infelizmente há uma complicação final -- não há local seguro para celebrarmos os casamento. Vamos adiar isso por enquanto.
dlga_lord_marriage_permission_endowment_answer_delay:lord_pretalk|Não importa -- leve o tempo que precisar para juntar o dinheiro. Quero que a senhoria dela seja bem cuidada.
dlga_lord_marriage_permission_endowment_answer_delay:lord_pretalk.1|É uma pena, mas eu seria negligente se permitisse que a senhoria dela ficasse incerta.
dlga_lord_talk_ask_something_2:lord_courtship_permission|{s10} Eu teria a honra de visitar com {s14}{s12}?
dlga_lord_courtship_permission:lord_pretalk|Pelo que ouvi, você já falou com ela -- sem minha permissão. Deixe-me falar isso: Eu sou o suserano dela e um guardião, e tenho planos para ela. Não serei motivo de chacotas por ser um homem que não consegue controlar as mulheres de sua corte. Eu peço para não me incomode com este assunto novamente.
dlga_lord_courtship_permission:lord_pretalk.1|{s14}
dlga_lord_courtship_permission:lord_pretalk.2|{s12}
dlga_lord_talk_ask_something_2:lord_talk_ask_marriage_1|O que seria necessário para cementar uma aliança duradoura com sua casa?
dlga_lord_talk_ask_something_2:lord_pretalk|Deixe para lá.
dlga_lord_talk_ask_location:lord_talk_ask_location_2|Muito bem, Eu posso ou não posso ter uma resposta para você. Sobre quem você gostaria de ouvir?
dlga_lord_talk_ask_location_2:lord_talk_ask_location_3|{s1}
dlga_lord_talk_ask_location_2:lady_pretalk|Deixe para lá.
dlga_lord_talk_ask_location_2:lord_pretalk|Deixe para lá.
dlga_lord_talk_ask_location_3:lady_pretalk|{s1}
dlga_lord_talk_ask_location_3:lord_pretalk|{s1}
dlga_lord_talk_ask_about_war:lord_talk_ask_about_war_2|{s12}
dlga_lord_talk_ask_about_war_2:lord_talk_ask_about_war_details|Conte-me mais sobre a guerra com {s1}.
dlga_lord_talk_ask_about_war_2:lord_pretalk|É tudo o que eu queria saber. Obrigado.
dlga_lord_talk_ask_about_war_details:lord_talk_ask_about_war_2|{s9}.
dlga_lord_talk_ask_about_strategy:lord_strategy_follow_evaluation|{s7} {s9} {s14}
dlga_lord_strategy_follow_evaluation:lord_talk_ask_something_2|Você teria outras questões?
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up|Nosso líder {s4} é muito cauteloso. {reg4?Ela:Ele} deveria usar o exército para atacar o inimigo, ou permitir que retornem para casa.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.1|Nosso exército está parado, fazendo nada. Aparentemente, poucos vassalos responderam ao chamado às armas. Talvez {s4} não esteja gostando da confiança dos lordes desse reino.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.2|Eu não concordo com esta estratégia. Eu preferiria {s4}.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.3|Eu pessoalmente gostaria de atacar {s8}, mas nosso general {s10} acredita que {s9}
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.4|Eu pessoalmente preferiria defender {s8}, ao invés de {s9}.
dlga_lord_strategy_follow_evaluation:lord_talk|Algo mais?
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.5|Esta estratégia parece razoável para mim.
dlga_lord_strategy_follow_up:lord_strategy_why_not|Se está atacando, por que não...
dlga_lord_strategy_follow_up:lord_talk_ask_something_again|Entendo...
dlga_lord_strategy_follow_up:lord_talk_replace_marshal|Você diria, então, que {s4} não deveria mais ser o general?
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again|Eu acredito que nosso reino deveria resolver o problema com {s4} antes de discutirmos se devemos substituir o general ou não.
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again.1|Sim. Já me posicionei sobre este assunto de forma clara. Eu acredito que {s4} deveria ser o general ao invés de {s5}.
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again.2|Eu decidirei isso sem a sua persuasão, {meu senhor/minha senhora}.
dlga_lord_talk_replace_marshal:lord_talk_replace_marshal_decision|Hmm...
dlga_lord_talk_replace_marshal_decision:lord_talk_ask_something_again|Sim, eu diria isso. Nessa altura, eu estaria tentado a dizer que apoio {s15}. Estou feliz que você e eu tivemos essa discussão, pois agora sei que pensamos da mesma maneira sobre esse assunto. 
dlga_lord_talk_replace_marshal_decision:lord_talk_ask_something_again.1|Não necessariamente. É possível que {s4} e eu tenhamos um desacordo honesto sobre estratégias, mas sem pensar em substituir ele. 
dlga_lord_strategy_why_not:lord_strategy_why_not_select|Pois não?
dlga_lord_strategy_why_not_select:lord_talk_ask_something_again|Deixa para lá.
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason|..planejando continuar com o ataque a {s4}?
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason.1|..defendendo {s4}?
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason.2|..atacando {s4}?
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat|{s9}
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat.1|Nosso general {s11} acredita que {s8} {s9}{s10}
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat.2|Poderíamos ir até lá. {s7} No entanto, {s5} {s3} {s4}. {s6} {s8}.
dlga_lord_talk_why_not_repeat:lord_strategy_why_not_select|Você teria outras questões similares? Por que nós não...
dlga_lord_talk_ask_marriage_1:lord_pretalk|Não ficaria ofendido se eu lhe dissesse que, como rei, tenho outros planos para minhas crianças.
dlga_lord_talk_ask_marriage_1:lord_pretalk.1|É nosso costume selar quaisquer alianças com casamento. Infelizmente, ninguém em minha corte está disponível para matrimônio.
dlga_lord_talk_ask_marriage_1:lord_courtship_pre_permission|{s15}
dlga_lord_talk_ask_marriage_1:lord_marriage_proposal_female_pc_confirm|Está sugerindo que eu e você nos casemos?
dlga_lord_courtship_pre_permission:lord_courtship_permission|Poderia {s15}sugerir que eu seja considerada uma noiva?
dlga_lord_courtship_pre_permission:lord_marriage_permission_engagement_date|TRAPAÇA -- Começar casamento
dlga_lord_courtship_pre_permission:lord_pretalk|Deixa para lá.
dlga_lord_marriage_proposal_female_pc_confirm:lord_marriage_proposal_female_pc_reax|Sim. Esta é minha proposta.
dlga_lord_marriage_proposal_female_pc_confirm:lord_pretalk|Não, acho que me entendeu mal.
dlga_lord_marriage_proposal_female_pc_reax:lord_pretalk|{s14}
dlga_lord_marriage_proposal_female_pc_reax:lord_marriage_proposal_female_pc_next_step|{s14}
dlga_lord_marriage_proposal_female_pc_next_step:lord_marriage_proposal_female_pc_next_step_4|Eu suponho que o próximo passo seria que eu mandasse uma mensagem para sua família, pedindo permissão para casar com você, mas suponho que você possa fazer suas próprias decisões.
dlga_lord_marriage_proposal_female_pc_next_step_4:lord_marriage_proposal_female_pc_next_step_5|Você acertou.
dlga_lord_marriage_proposal_female_pc_next_step_5:lord_marriage_proposal_female_pc_confirm_engagement|Muito bem, então. Como não há obstáculos para nosso casamento, devemos nos considerar aptos para casar? Vou organizar um grande banquete, e podemos trocar nosso votos diante de todos os lordes do reino. Se você quiser fazer isso, é claro...
dlga_lord_marriage_proposal_female_pc_confirm_engagement:lord_marriage_proposal_female_pc_confirm_engagement_yes|Estou disposta.
dlga_lord_marriage_proposal_female_pc_confirm_engagement:lord_marriage_proposal_female_pc_confirm_engagement_no|Na verdade, gostaria de reconsiderar.
dlga_lord_marriage_proposal_female_pc_confirm_engagement_yes:close_window|Muito bem. Com sorte, talvez em um pouco mais do que um mês, estaremos casados.{s12}
dlga_lord_marriage_proposal_female_pc_confirm_engagement_no:close_window|Leve o tempo que precisar, minha senhora.
dlga_lord_talk:party_encounter_lord_hostile_ultimatum_surrender|Eu direi isso apenas uma vez, {s4}! Renda-se ou morra!
dlga_party_encounter_lord_hostile_ultimatum_surrender:close_window|{s43}
dlga_lord_talk:lord_predemand|Estou aqui para entregar-lhe minhas exigências!
dlga_lord_predemand:lord_demand|Eh? O que quer?
dlga_lord_demand:lord_ultimatum_surrender|Eu ofereço uma chance de rendição ou a morte.
dlga_lord_ultimatum_surrender:lord_attack_verify|{s43}
dlga_lord_attack_verify:lord_attack_verify_cancel|Desculpe-me senhor. Não sei no que eu estava pensando.
dlga_lord_attack_verify_cancel:close_window|Suma, então.
dlga_lord_attack_verify:lord_attack_verify_commit|Isso não é da sua conta. Prepare-se para lutar!
dlga_lord_ultimatum_surrender:lord_attack_verify_b|{s43}
