qstr_Next_Page|Próxima página
qstr_{s13}_asked_you_to_r|{s13} pediu que você se apresente a ele com pelo menos {reg13} tropas.
qstr_{s13}_ordered_you_to|{s13} ordenou que você se junte ao ataque a {s14}.
qstr_Find_and_speak_with_|Encontre {s3} de {s4} e fale com ele para prestar seu juramento de lealdade.
; qstr_There_has_been_an_al|There has been an alleged border incident: {s9}
; qstr_^^Note_that_so_long_|^^Note that so long as you remain marshal, the lords of the realm will be expecting you to lead them on campaign. So, if you are awaiting a feast, either for a wedding or for other purposes, you may wish to resign the marshalship by speaking to your liege.
; qstr_Breaking_camp...|Breaking camp...
; qstr_Your_party_is_spotte|Your party is spotted by {s1}.
qstr_Party_has_nothing_to|A tropa não tem o que comer!
; qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?have:has} escaped from your party during the night.
qstr_{s1}_of_{s3}_has_bee|{s1} de {s3} foi libertado.
qstr_Building_of_{s0}_in_|A construção de {s0} em {s4} foi finalizada.
qstr_{s1}_has_won_the_tou|{s1} venceu o torneio em {s2}.
; qstr_{s1}_is_no_longer_in|{s1} is no longer infested by bandits (at night).
qstr_You_pay_for_accommod|Você pagou pelo alojamento.
; qstr_Betrothal_to_{s5}_ex|Betrothal to {s5} expires
qstr__Your_tactics_skill_|Sua habilidade em táticas aumentou em 1 ponto.
qstr__Your_persuasion_ski|Sua habilidade em persuasão aumentou em 1 ponto.
qstr__Your_leadership_ski|Sua habilidade em liderança aumentou em 1 ponto.
qstr__Your_intelligence_h|Sua inteligência aumentou em 1 ponto.
qstr__Your_trade_skill_ha|Sua habilidade em comércio aumentou em 1 ponto.
qstr__Your_weapon_master_|Sua habilidade como mestre das armas aumentou em 1 ponto.
qstr__Your_engineer_skill|Sua habilidade em engenharia aumentou em 1 ponto.
qstr_You_have_finished_re|Você terminou de ler {s1}.{s2}
qstr_Book_Read|Livro lido
; qstr_{s1}_is_scouted.|{s1} is scouted.
; qstr_{s1}_has_switched_fr|{s1} has switched from {s2} to {s3}.
; qstr_{reg65?my_Lady:my_Lo|{reg65?my Lady:my Lord}
; qstr_{reg65?My_Lady:My_Lo|{reg65?My Lady:My Lord}
qstr_{reg65?madame:sir}|{reg65?senhora:senhor}
qstr_{reg65?Madame:Sir}|{reg65?Senhora:Senhor}
; qstr__no_fiefs_|(no fiefs)
qstr__fiefs:_{s0}_|(feudos: {s0})
; qstr_It_s_your_money_or_y|It's your money or your life, {mate/girlie}. No sudden moves or we'll run you through.
qstr_Lucky_for_you_you_ca|Sorte sua que estou de bom humor. Passe todo o seu dinheiro e talvez eu deixe você viver.
; qstr_This_a_robbery_eh?_I|This a robbery, eh? I givin' you one chance to hand over everythin' you got, or me and my mates'll kill you. Understand?
qstr_we_have_made_very_li|fizemos pouquíssimo progresso até agora
; qstr_we_have_suceeded_in_|we have suceeded in gaining some ground, but we still have a long way to go
qstr_we_have_become_a_sig|nós nos tornamos uma força considerável, e temos uma chance razoável de vencer
qstr_we_are_winning_the_w|estamos vencendo a guerra, mas nossos inimigos ainda resistem.
qstr_we_are_on_the_verge_|estamos muito perto da vitória. Os inimigos restantes não representam ameaça, mas ainda precisamos caçá-los.
; qstr_{playername}_when_we|{playername}, when we started our long walk, few people had the courage to support me. And fewer still would be willing to put their lives at risk for my cause. But you didn't hesitate for a moment in throwing yourself at my enemies. We have gone through a lot together, and there were times I came close to losing all hope. But with God's help, we prevailed. It is now time for me to leave your company and take what's rightfully mine. From now on, I will carry out the great responsibility of ruling {s3}. There still lie many challanges ahead and I count on your help in overcoming those. And of course, you will always remain as my foremost vassal.
; qstr__We_will_of_course_n| We will of course need to wait until the realm is no longer on campaign.
qstr_I_am_{s4}_the_ruler_|Eu sou {s4}, governante de {s6}
; qstr_I_am_{s4}_a_vassal_o|I am {s4}, a vassal of {s6}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? e o senhor de {s8}.:.
qstr_{s13}_asked_you_to_g|{s13} pediu que você obtenha {reg3} cabeças de gado e entregue-as a ele.
qstr_{s9}_asked_you_to_sc|{s9} pediu que você faça o reconhecimento de {s13}, {s14} e {s15}, e depois volte para relatar tudo.
; qstr_you|you
; qstr_You_are_challenging_|You are challenging me to a duel? How droll! As you wish, {playername}, it will be good sport to bash your head in.
qstr_{s16}_and_{s17}|{s16} e {s17}
; qstr_Very_well_I_will_acc|Very well, I will accept you back into my ranks, if you're ready to swear your solemn oath once more.
qstr_A_pardon_will_only_b|Um perdão só será possível se você se dispuser a me ceder {s17}. Concorda com meus termos?
qstr_No._There_is_no_chan|Não. Não há nenhuma chance de paz entre nós, não tenho interesse.
; qstr_Our_marshal_{s1}|Our marshal, {s1}
qstr_{s11}_and_{s12}|{s11} e {s12}
qstr_We_are_not_at_war_wi|Não estamos em guerra com ninguém.
qstr_We_are_at_war_with_{|Estamos em guerra com {s12}.
; qstr_go_on_the_offensive_|go on the offensive now.
; qstr_act_to_defend_our_la|act to defend our lands.
; qstr_take_more_time_to_ga|take more time to gather the army.
qstr_You_promised_to_help|Você prometeu ajudar {s13} a conquistar o trono de {s14}.
; qstr_What_do_you_say_to_e|What do you say to entering the service of {s9} as a mercenary captain? I have no doubt that you would be up to the task.
qstr_{s9}_asked_you_to_ta|{s9} lhe pediu para levar uma mensagem a {s13}. {s13} supostamente estava em {s4} quando esta missão foi dada a você.
qstr_{s9}_asked_you_to_tak|{s9} lhe pediu para levar uma mensagem a {s13} de {s15}. {s13} supostamente estava em {s4} quando esta missão foi dada a você.
; qstr_{s11}_asked_you_to_e|{s11} asked you to escort his {s17} {s13} to {s14}.
; qstr_{s13}_asked_you_to_d|{s13} asked you to deal with the bandits who are occupying the village of {s15} and then report back to him.
; qstr_{s9}_asked_you_to_ra|{s9} asked you to raise {reg1} {s14} and bring them to him.
qstr_{s9}_asked_you_to_co|{s9} lhe pediu para coletar impostos de {s3}. Ele ofereceu deixar você ficar com um quinto de todo o dinheiro arrecadado lá.
qstr_{s9}_asked_you_to_hu|{s9} lhe pediu pra perseguir um fugitivo chamado {s4}. Acredita-se que ele esteja em {s3}.
qstr_{s9}_asked_you_to_as|{s9} lhe pediu pra assassinar um mercador local em {s3}.
qstr_{s9}_has_asked_you_t|{s9} lhe pediu para se encontrar com um espião em {s13}.
; qstr_{s11}_asked_you_to_f|{s11} asked you to follow the spy that will leave {s12}. Be careful not to let the spy see you on the way, or he may get suspicious and turn back. Once the spy meets with his accomplice, you are to capture them and bring them back to {s11}.
; qstr_{s11}_asked_you_to_c|{s11} asked you to capture a lord from {s13}, any lord, and then drag your victim back to {s11} for safekeeping.
; qstr_{s9}_asked_you_to_le|{s9} asked you to lend your companion {s3} to him for a week.
; qstr_{s9}_asked_you_to_col|{s9} asked you to collect the debt of {reg4} denars {s3} owes to him. {s3} was at {s4} when you were given this quest.
; qstr_{s11}_gave_you_a_fak|{s11} gave you a fake letter to fool {s13} into banishing his vassal {s16}. You are to go near {s14}, give the letter to one of your {s15} and send him into the town as a messenger, believing his orders to be genuine.
qstr_{s9}_has_requested_y|{s9} lhe pediu para trazer {reg1} {s3} como prisioneiros.
; qstr_Lend_your_experience|Lend your experienced surgeon {s3} to {s1}.
qstr_Then_take_it_with_my|Então fique com isto e aceite minha eterna gratidão. Você é {um homem/uma mulher} nobre. Nunca vou me esquecer de que você me ajudou quando eu mais precisava.
qstr_Forgive_me_{playerna|Perdão, {playername}, mas devo insistir que você aceite. O dinheiro significa pouco para mim, e devo tanto a você. Tome, pegue-o, e não falemos mais sobre isso.
; qstr_{playername}_what_a_|{playername}, what a dear {man/woman} you are, but I will not allow you to refuse this. I owe you far more than I can say, and I am sure you can put this money to far better use than I.
; qstr_{s11}_asked_you_to_r|{s11} asked you to rescue her {s17}, {s13}, from {s14} by switching clothes and taking his place in prison.
; qstr_{s11}_asked_you_to_re|{s11} asked you to rescue her {s17}, {s13}, from {s14}.
; qstr_{s11}_asked_you_to_d|{s11} asked you to deliver a message to {s13}, who is imprisoned at {s14}.
qstr_You_agreed_to_challe|Você concordou em desafiar {s13} para defender a honra de {s11}.
; qstr_{s5}__Persuasion_str|{s5} (Persuasion strength: {reg5})
qstr_Persuasion_Attempt|Tentativa de Persuasão
; qstr_A_villager_from_{s7}|A villager from {s7} begged you to save their village from the bandits that took refuge there.
qstr_You_chose_well_{sir/|Boa escolha, {senhor/senhora}. Meus rapazes sabem cumprir com a palavra e fazer por merecer.
; qstr_Well_done_{sir/madam|Well done, {sir/madam}. Keep the money and wine coming our way, and there's no foe in Calradia you need fear.
; qstr_We_are_at_your_servi|We are at your service, {sir/madam}. Point us in the direction of those who need hurting, and we'll do the rest.
; qstr_The_Guildmaster_of_{|The Guildmaster of {s13} has asked you to deal with looters in the surrounding countryside.
qstr_{s9}_of_{s3}_asked_y|{s9} de {s3} lhe pediu para enviar {reg5} unidades de {s6} para a taverna em {s4} dentro de 7 dias.
qstr_Escort_the_merchant_|Escolte a caravana de mercadores até a cidade de {s8}.
; qstr_Merchant_{s9}_of_{s4|Merchant {s9} of {s4} asked you to hunt down the troublesome bandits in the vicinity of the town.
; qstr_Guildmaster_of_{s4}_|Guildmaster of {s4} gave you {reg12} denars to pay the ransom of a girl kidnapped by bandits. You are to meet the bandits near {s3} and pay them the ransom fee. After that you are to bring the girl back to {s4}.
; qstr_Guildmaster_of_{s4}_p|Guildmaster of {s4} promised you {reg12} denars if you can make sure that {s12} and {s13} no longer pose a threat to a peace settlement between {s15} and {s14}. In order to do that, you must either convince them or make sure they fall captive and remain so until a peace agreement is made.
; qstr_The_Guildmaster_of_{s|The Guildmaster of {s14} has asked you to deal with a group of bandits terrorising the streets of {s14}. They only come out at night, and only attack lone travellers on the streets.
; qstr_Guildmaster_of_{s10}|Guildmaster of {s10} asked you to move a cattle herd to {s13}. You will earn {reg8} denars in return.
qstr_He_is_not_commanding|Ele não está comandando homens no momento.
; qstr_He_currently_command|He currently commands {reg0} men{reg1?, of which around {reg1} are wounded:}.
qstr_The_elder_of_the_vil|O ancião do vilarejo de {s3} lhe pediu para trazer {reg5} sacos de grãos.
; qstr_The_elder_of_the_vill|The elder of the village of {s13} asked you to train {reg5} peasants to fight against local bandits.
qstr_The_elder_of_the_villa|O ancião do vilarejo de {s3} lhe pediu para trazer {reg5} cabeças de gado.
qstr_{s16}_and_{s15}|{s16} e {s15}
; qstr_I_can_smell_a_fat_pu|I can smell a fat purse a mile away. Methinks yours could do with some lightening, eh?
; qstr_Why_it_be_another_tr|Why, it be another traveller, chance met upon the road! I should warn you, country here's a mite dangerous for a good {fellow/woman} like you. But for a small donation my boys and I'll make sure you get rightways to your destination, eh?
; qstr_Well_well_look_at_th|Well well, look at this! You'd best start coughing up some silver, friend, or me and my boys'll have to break you.
; qstr_There_s_a_toll_for_p|There's a toll for passin' through this land, payable to us, so if you don't mind we'll just be collectin' our due from your purse...
; qstr_Another_fool_come_to|Another fool come to throw {him/her}self on my weapon, eh? Fine, let's fight!
; qstr_We_re_not_afraid_of_|We're not afraid of you, {sirrah/wench}. Time to bust some heads!
qstr_That_was_a_mistake._|Isso foi um grande erro. Agora terei de tornar sua morte longa e dolorosa.
; qstr_Brave_words._Let_s_s|Brave words. Let's see you back them up with deeds, cur!
; qstr_A_{s5}?_Well..._Yes_|A {s5}? Well... Yes, I suppose it is. What a strange thing to ask.
; qstr_Eh?_No_it_most_certa|Eh? No, it most certainly is not a {s5}. I'd start questioning my eyesight if I were you.
qstr_This_is_the_{reg4?to|Esta é a {reg4?cidade:vilarejo} de {s5}, {senhor/senhora}.
qstr_{s6}_Our_{reg4?town:|{s6} Nossa {reg4?cidade:vilarejo} e as terras circundantes pertencem {ao senhor/à senhora}, é claro.
; qstr_{s6}_Our_{reg4?town:v|{s6} Our {reg4?town:village} and the surrounding lands belong to {s7} of {s8}.
qstr_{s3}_and_{s5}|{s3} e {s5}
; qstr_{reg20?We_mostly_pro|{reg20?We mostly produce {s5} here:We don't produce much here these days}. If you would like to learn more, you can speak with our {reg4?guildmaster:village elder}. He is nearby, right over there.
